% Model,ion trap blade.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 15 2024, 18:18"
% Dimension,3
% Nodes,9999
% Expressions,1
% Description,Electric potential
% Length unit,mm
% x,y,z,esbe.V (V)
0,0,-2.250000000000001,-5.049535517167095E-6
0,0,-2.249549909981996,-5.019374699411785E-6
0,0,-2.2490998199639933,-4.989210758689962E-6
0,0,-2.248649729945989,-4.9590437074218145E-6
0,0,-2.248199639927986,-4.928873557658682E-6
0,0,-2.2477495499099818,-4.898700322295306E-6
0,0,-2.247299459891978,-4.868524012719821E-6
0,0,-2.2468493698739747,-4.838344641625741E-6
0,0,-2.2463992798559715,-4.808162221303582E-6
0,0,-2.2459491898379675,-4.7779767635787364E-6
0,0,-2.245499099819965,-4.747788281293363E-6
0,0,-2.2450490098019604,-4.7175967853409825E-6
0,0,-2.244598919783957,-4.687402289043404E-6
0,0,-2.2441488297659533,-4.657204804010156E-6
0,0,-2.2436987397479498,-4.627004342542705E-6
0,0,-2.243248649729946,-4.596800916511329E-6
0,0,-2.242798559711943,-4.5665945381059315E-6
0,0,-2.242348469693939,-4.536385219430761E-6
0,0,-2.2418983796759346,-4.506172972276192E-6
0,0,-2.241448289657932,-4.475957808930788E-6
0,0,-2.2409981996399275,-4.445739741496088E-6
0,0,-2.240548109621925,-4.415518781779597E-6
0,0,-2.2400980196039204,-4.385294941690841E-6
0,0,-2.239647929585917,-4.355068233632877E-6
0,0,-2.2391978395679137,-4.324838668786756E-6
0,0,-2.2387477495499106,-4.2946062599536535E-6
0,0,-2.238297659531906,-4.264371018875804E-6
0,0,-2.2378475695139026,-4.234132957076976E-6
0,0,-2.237397479495899,-4.2038920867231095E-6
0,0,-2.2369473894778955,-4.1736484195560065E-6
0,0,-2.236497299459892,-4.143401967865424E-6
0,0,-2.2360472094418884,-4.113152743441409E-6
0,0,-2.235597119423885,-4.082900757888938E-6
0,0,-2.2351470294058813,-4.052646023183781E-6
0,0,-2.2346969393878777,-4.022388551169656E-6
0,0,-2.2342468493698733,-3.992128353995047E-6
0,0,-2.2337967593518706,-3.9618654427365976E-6
0,0,-2.233346669333866,-3.93159983014214E-6
0,0,-2.2328965793158626,-3.9013315276046874E-6
0,0,-2.232446489297859,-3.871060547018046E-6
0,0,-2.2319963992798564,-3.8407868999459915E-6
0,0,-2.231546309261852,-3.8105105981773787E-6
0,0,-2.2310962192438493,-3.7802316536582727E-6
0,0,-2.2306461292258453,-3.7499500784648424E-6
0,0,-2.230196039207842,-3.7196658840350956E-6
0,0,-2.2297459491898377,-3.6893790819286874E-6
0,0,-2.229295859171834,-3.6590896841618304E-6
0,0,-2.2288457691538306,-3.628797702602744E-6
0,0,-2.228395679135827,-3.598503148868979E-6
0,0,-2.2279455891178235,-3.5682060342740775E-6
0,0,-2.22749549909982,-3.5379063712900503E-6
0,0,-2.2270454090818164,-3.507604171210923E-6
0,0,-2.226595319063813,-3.4772994458123242E-6
0,0,-2.2261452290458084,-3.446992206700421E-6
0,0,-2.225695139027807,-3.416682465664069E-6
0,0,-2.225245049009802,-3.3863702345590186E-6
0,0,-2.2247949589917986,-3.3560555250801254E-6
0,0,-2.224344868973795,-3.3257383483580255E-6
0,0,-2.2238947789557906,-3.295418716916772E-6
0,0,-2.223444688937788,-3.265096641889712E-6
0,0,-2.2229945989197835,-3.2347721348872406E-6
0,0,-2.222544508901781,-3.204445208058386E-6
0,0,-2.2220944188837777,-3.1741158725639247E-6
0,0,-2.2216443288657737,-3.143784140551909E-6
0,0,-2.2211942388477692,-3.113450023389981E-6
0,0,-2.2207441488297666,-3.0831135326410495E-6
0,0,-2.220294058811762,-3.0527746801041608E-6
0,0,-2.2198439687937603,-3.0224334775326087E-6
0,0,-2.219393878775754,-2.992089936202638E-6
0,0,-2.2189437887577523,-2.9617440683306047E-6
0,0,-2.2184936987397483,-2.9313958851054757E-6
0,0,-2.218043608721745,-2.901045398607106E-6
0,0,-2.2175935187037408,-2.870692619871373E-6
0,0,-2.217143428685737,-2.8403375610874197E-6
0,0,-2.2166933386677337,-2.8099802334678476E-6
0,0,-2.21624324864973,-2.7796206491831517E-6
0,0,-2.2157931586317265,-2.7492588195346217E-6
0,0,-2.215343068613722,-2.7188947560973084E-6
0,0,-2.2148929785957194,-2.688528470333072E-6
0,0,-2.214442888577715,-2.658159974389422E-6
0,0,-2.2139927985597123,-2.627789279747734E-6
0,0,-2.213542708541708,-2.5974163980399794E-6
0,0,-2.213092618523706,-2.567041340597047E-6
0,0,-2.2126425285057,-2.5366641194444735E-6
0,0,-2.212192438487698,-2.506284745998474E-6
0,0,-2.2117423484696936,-2.4759032322134618E-6
0,0,-2.211292258451691,-2.4455195893905097E-6
0,0,-2.2108421684336865,-2.4151338291723227E-6
0,0,-2.210392078415683,-2.384745963340492E-6
0,0,-2.20994198839768,-2.3543560037325544E-6
0,0,-2.209491898379676,-2.323963961540403E-6
0,0,-2.2090418083616723,-2.2935698489072107E-6
0,0,-2.2085917183436687,-2.2631736770177156E-6
0,0,-2.208141628325665,-2.2327754580893583E-6
0,0,-2.2076915383076616,-2.2023752030923133E-6
0,0,-2.207241448289658,-2.1719729245199505E-6
0,0,-2.2067913582716545,-2.1415686335778247E-6
0,0,-2.2063412682536505,-2.1111623417276876E-6
0,0,-2.2058911782356465,-2.0807540608915346E-6
0,0,-2.205441088217644,-2.0503438027676905E-6
