% Model,ion trap blade.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 15 2024, 18:19"
% Dimension,3
% Nodes,9999
% Expressions,1
% Description,Electric potential
% Length unit,mm
% x,y,z,esbe.V (V)
0,0,-2.250000000000001,0.692762352304106
0,0,-2.249549909981996,0.692352430312457
0,0,-2.2490998199639933,0.6919422753996574
0,0,-2.248649729945989,0.6915318881565498
0,0,-2.248199639927986,0.691121269175082
0,0,-2.2477495499099818,0.6907104190482877
0,0,-2.247299459891978,0.6902993383702886
0,0,-2.2468493698739747,0.6898880277362919
0,0,-2.2463992798559715,0.689476487742587
0,0,-2.2459491898379675,0.6890647189865353
0,0,-2.245499099819965,0.6886527220665799
0,0,-2.2450490098019604,0.6882404975822213
0,0,-2.244598919783957,0.6878280461340375
0,0,-2.2441488297659533,0.6874153683236601
0,0,-2.2436987397479498,0.687002464753786
0,0,-2.243248649729946,0.6865893360281631
0,0,-2.242798559711943,0.6861759827515913
0,0,-2.242348469693939,0.6857624055299159
0,0,-2.2418983796759346,0.6853486049700295
0,0,-2.241448289657932,0.6849345816798638
0,0,-2.2409981996399275,0.6845203362683822
0,0,-2.240548109621925,0.6841058693455899
0,0,-2.2400980196039204,0.6836911815225086
0,0,-2.239647929585917,0.6832762734111942
0,0,-2.2391978395679137,0.6828611456247229
0,0,-2.2387477495499106,0.6824457987771827
0,0,-2.238297659531906,0.6820302334836783
0,0,-2.2378475695139026,0.6816144503603264
0,0,-2.237397479495899,0.6811984500242472
0,0,-2.2369473894778955,0.6807822330935619
0,0,-2.236497299459892,0.6803658001873925
0,0,-2.2360472094418884,0.6799491519258546
0,0,-2.235597119423885,0.6795322889300542
0,0,-2.2351470294058813,0.679115211822082
0,0,-2.2346969393878777,0.6786979212250154
0,0,-2.2342468493698733,0.6782804177629087
0,0,-2.2337967593518706,0.6778627020607928
0,0,-2.233346669333866,0.6774447747446654
0,0,-2.2328965793158626,0.6770266364414972
0,0,-2.232446489297859,0.6766082877792202
0,0,-2.2319963992798564,0.6761897293867254
0,0,-2.231546309261852,0.6757709618938571
0,0,-2.2310962192438493,0.6753519859314188
0,0,-2.2306461292258453,0.6749328021311531
0,0,-2.230196039207842,0.6745134111257525
0,0,-2.2297459491898377,0.674093813548845
0,0,-2.229295859171834,0.6736740100349986
0,0,-2.2288457691538306,0.6732540012197112
0,0,-2.228395679135827,0.6728337877394097
0,0,-2.2279455891178235,0.6724133702314432
0,0,-2.22749549909982,0.6719927493340837
0,0,-2.2270454090818164,0.671571925686516
0,0,-2.226595319063813,0.6711508999288399
0,0,-2.2261452290458084,0.670729672702061
0,0,-2.225695139027807,0.6703082446480939
0,0,-2.225245049009802,0.6698866164097431
0,0,-2.2247949589917986,0.6694647886307206
0,0,-2.224344868973795,0.669042761955624
0,0,-2.2238947789557906,0.6686205370299395
0,0,-2.223444688937788,0.6681981145000425
0,0,-2.2229945989197835,0.6677754950131763
0,0,-2.222544508901781,0.6673526792174778
0,0,-2.2220944188837777,0.6669296677619382
0,0,-2.2216443288657737,0.6665064612964253
0,0,-2.2211942388477692,0.6660830604716702
0,0,-2.2207441488297666,0.665659465939262
0,0,-2.220294058811762,0.6652356783516478
0,0,-2.2198439687937603,0.6648116983621236
0,0,-2.219393878775754,0.6643875266248289
0,0,-2.2189437887577523,0.6639631637947595
0,0,-2.2184936987397483,0.6635386105277365
0,0,-2.218043608721745,0.6631138674804207
0,0,-2.2175935187037408,0.662688935310306
0,0,-2.217143428685737,0.6622638146757105
0,0,-2.2166933386677337,0.6618385062357762
0,0,-2.21624324864973,0.6614130106504668
0,0,-2.2157931586317265,0.6609873285805492
0,0,-2.215343068613722,0.6605614606876139
0,0,-2.2148929785957194,0.6601354076340512
0,0,-2.214442888577715,0.6597091700830493
0,0,-2.2139927985597123,0.6592827486986051
0,0,-2.213542708541708,0.6588561441454966
0,0,-2.213092618523706,0.6584293570893022
0,0,-2.2126425285057,0.6580023881963731
0,0,-2.212192438487698,0.6575752381338558
0,0,-2.2117423484696936,0.6571479075696622
0,0,-2.211292258451691,0.6567203971724834
0,0,-2.2108421684336865,0.6562927076117727
0,0,-2.210392078415683,0.6558648395577567
0,0,-2.20994198839768,0.6554367936814128
0,0,-2.209491898379676,0.655008570654478
0,0,-2.2090418083616723,0.654580171149444
0,0,-2.2085917183436687,0.654151595839544
0,0,-2.208141628325665,0.6537228453987571
0,0,-2.2076915383076616,0.6532939205018009
0,0,-2.207241448289658,0.6528648218241289
0,0,-2.2067913582716545,0.6524355500419211
0,0,-2.2063412682536505,0.6520061058320894
0,0,-2.2058911782356465,0.6515764898722622
0,0,-2.205441088217644,0.6511467028407887
0,0,-2.2049909981996394,0.6507167454167301
0,0,-2.2045409081816367,0.6502866182798577
0,0,-2.2040908181636323,0.6498563221106421
0,0,-2.2036407281456296,0.6494258575902639
0,0,-2.203190638127625,0.6489952254005933
0,0,-2.2027405481096234,0.648564426224196
0,0,-2.202290458091618,0.6481334607443147
0,0,-2.2018403680736154,0.6477023296448963
0,0,-2.201390278055611,0.6472710336105465
0,0,-2.2009401880376074,0.6468395733265553
0,0,-2.200490098019604,0.6464079494788819
0,0,-2.2000400080016003,0.6459761627541513
0,0,-2.199589917983596,0.6455442138396482
0,0,-2.199139827965593,0.6451121034233213
0,0,-2.1986897379475896,0.6446798321937615
0,0,-2.198239647929587,0.6442474008402191
0,0,-2.197789557911583,0.6438148100525823
0,0,-2.197339467893579,0.6433820605213811
0,0,-2.1968893778755754,0.6429491529377853
0,0,-2.196439287857571,0.6425160879935886
0,0,-2.195989197839569,0.6420828663812193
0,0,-2.195539107821564,0.6416494887937216
0,0,-2.195089017803561,0.6412159559247637
0,0,-2.1946389277855567,0.6407822684686246
0,0,-2.194188837767554,0.6403484271201952
0,0,-2.1937387477495496,0.6399144325749689
0,0,-2.193288657731547,0.6394802855290439
0,0,-2.1928385677135416,0.6390459866791082
0,0,-2.192388477695539,0.6386115367224546
0,0,-2.1919383876775353,0.6381769363569482
0,0,-2.191488297659532,0.637742186281048
0,0,-2.1910382076415282,0.637307287193789
0,0,-2.1905881176235247,0.6368722397947816
0,0,-2.190138027605521,0.6364370447842053
0,0,-2.1896879375875176,0.6360017028628067
0,0,-2.1892378475695153,0.6355662147318929
0,0,-2.1887877575515104,0.635130581093328
0,0,-2.188337667533507,0.6346948026495314
0,0,-2.1878875775155024,0.6342588801034663
0,0,-2.1874374874974998,0.6338228141586463
0,0,-2.1869873974794953,0.6333866055191165
0,0,-2.1865373074614927,0.6329502548894653
0,0,-2.1860872174434873,0.6325137629748039
0,0,-2.185637127425486,0.6320771304807792
0,0,-2.185187037407481,0.6316403581135456
0,0,-2.1847369473894784,0.6312034465797953
0,0,-2.184286857371474,0.63076639658671
0,0,-2.1838367673534713,0.6303292088420046
0,0,-2.183386677335467,0.629891884053877
0,0,-2.182936587317464,0.6294544229310357
0,0,-2.1824864972994606,0.6290168261826818
0,0,-2.1820364072814566,0.6285790945185116
0,0,-2.1815863172634526,0.6281412286486999
0,0,-2.181136227245449,0.6277032292839111
0,0,-2.1806861372274455,0.6272650971352837
0,0,-2.180236047209441,0.6268268329144285
0,0,-2.1797859571914384,0.626388437333427
0,0,-2.179335867173433,0.6259499111048233
0,0,-2.1788857771554313,0.6255112549416264
0,0,-2.1784356871374273,0.625072469557292
0,0,-2.177985597119424,0.6246335556657332
0,0,-2.1775355071014197,0.624194513981308
0,0,-2.1770854170834175,0.6237553452188179
0,0,-2.1766353270654126,0.6233160500934962
0,0,-2.17618523704741,0.6228766293210194
0,0,-2.1757351470294064,0.6224370836174835
0,0,-2.175285057011403,0.6219974136994126
0,0,-2.1748349669933984,0.621557620283751
0,0,-2.1743848769753957,0.621117704087859
0,0,-2.1739347869573913,0.6206776658295027
0,0,-2.173484696939389,0.6202375062268649
0,0,-2.173034606921384,0.6197972259985164
0,0,-2.1725845169033806,0.6193568258634387
